,sid,gmv_PGA,eid
0,0,1.20838E-01,12884901888
1,1,1.16853E-01,12884901888
2,2,1.12915E-01,12884901888
3,3,1.09049E-01,12884901888
4,4,1.05275E-01,12884901888
5,5,1.01608E-01,12884901888
6,6,9.80565E-02,12884901888
7,7,9.46280E-02,12884901888
8,8,9.13255E-02,12884901888
9,9,8.81502E-02,12884901888
10,10,8.51014E-02,12884901888
11,11,8.21775E-02,12884901888
12,12,7.93756E-02,12884901888
13,13,7.66925E-02,12884901888
14,14,7.41241E-02,12884901888
15,15,7.16664E-02,12884901888
16,16,6.93151E-02,12884901888
17,17,6.70656E-02,12884901888
18,18,6.49136E-02,12884901888
19,19,6.28547E-02,12884901888
20,20,6.08846E-02,12884901888
21,21,5.89991E-02,12884901888
22,22,5.71942E-02,12884901888
23,23,5.54660E-02,12884901888
24,24,5.38109E-02,12884901888
25,25,5.22251E-02,12884901888
26,26,5.07053E-02,12884901888
27,27,4.92483E-02,12884901888
28,28,4.78510E-02,12884901888
29,29,4.65104E-02,12884901888
30,30,1.17129E-01,12884901888
31,31,1.13457E-01,12884901888
32,32,1.09808E-01,12884901888
33,33,1.06211E-01,12884901888
34,34,1.02683E-01,12884901888
35,35,9.92401E-02,12884901888
36,36,9.58938E-02,12884901888
37,37,9.26513E-02,12884901888
38,38,8.95175E-02,12884901888
39,39,8.64950E-02,12884901888
40,40,8.35846E-02,12884901888
41,41,8.07860E-02,12884901888
42,42,7.80977E-02,12884901888
43,43,7.55175E-02,12884901888
44,44,7.30425E-02,12884901888
45,45,7.06695E-02,12884901888
46,46,6.83951E-02,12884901888
47,47,6.62156E-02,12884901888
48,48,6.41272E-02,12884901888
49,49,6.21264E-02,12884901888
50,50,6.02092E-02,12884901888
51,51,5.83722E-02,12884901888
52,52,5.66116E-02,12884901888
53,53,5.49239E-02,12884901888
54,54,5.33059E-02,12884901888
55,55,5.17542E-02,12884901888
56,56,5.02658E-02,12884901888
57,57,4.88376E-02,12884901888
58,58,4.74668E-02,12884901888
59,59,4.61507E-02,12884901888
60,60,1.13420E-01,12884901888
61,61,1.10042E-01,12884901888
62,62,1.06671E-01,12884901888
63,63,1.03331E-01,12884901888
64,64,1.00041E-01,12884901888
65,65,9.68179E-02,12884901888
66,66,9.36728E-02,12884901888
67,67,9.06142E-02,12884901888
68,68,8.76481E-02,12884901888
69,69,8.47785E-02,12884901888
70,70,8.20073E-02,12884901888
71,71,7.93354E-02,12884901888
72,72,7.67623E-02,12884901888
73,73,7.42869E-02,12884901888
74,74,7.19073E-02,12884901888
75,75,6.96212E-02,12884901888
76,76,6.74259E-02,12884901888
77,77,6.53187E-02,12884901888
78,78,6.32963E-02,12884901888
79,79,6.13557E-02,12884901888
80,80,5.94936E-02,12884901888
81,81,5.77070E-02,12884901888
82,82,5.59926E-02,12884901888
83,83,5.43474E-02,12884901888
84,84,5.27683E-02,12884901888
85,85,5.12525E-02,12884901888
86,86,4.97970E-02,12884901888
87,87,4.83992E-02,12884901888
88,88,4.70564E-02,12884901888
89,89,4.57662E-02,12884901888
90,90,1.09741E-01,12884901888
91,91,1.06639E-01,12884901888
92,92,1.03529E-01,12884901888
93,93,1.00434E-01,12884901888
94,94,9.73735E-02,12884901888
95,95,9.43622E-02,12884901888
96,96,9.14126E-02,12884901888
97,97,8.85340E-02,12884901888
98,98,8.57331E-02,12884901888
99,99,8.30147E-02,12884901888
100,100,8.03820E-02,12884901888
101,101,7.78366E-02,12884901888
102,102,7.53792E-02,12884901888
103,103,7.30094E-02,12884901888
104,104,7.07264E-02,12884901888
105,105,6.85285E-02,12884901888
106,106,6.64140E-02,12884901888
107,107,6.43805E-02,12884901888
108,108,6.24258E-02,12884901888
109,109,6.05470E-02,12884901888
110,110,5.87418E-02,12884901888
111,111,5.70072E-02,12884901888
112,112,5.53407E-02,12884901888
113,113,5.37395E-02,12884901888
114,114,5.22009E-02,12884901888
115,115,5.07223E-02,12884901888
116,116,4.93012E-02,12884901888
117,117,4.79351E-02,12884901888
118,118,4.66216E-02,12884901888
119,119,4.53584E-02,12884901888
120,120,1.06117E-01,12884901888
121,121,1.03273E-01,12884901888
122,122,1.00407E-01,12884901888
123,123,9.75438E-02,12884901888
124,124,9.47001E-02,12884901888
125,125,9.18916E-02,12884901888
126,126,8.91305E-02,12884901888
127,127,8.64263E-02,12884901888
128,128,8.37865E-02,12884901888
129,129,8.12166E-02,12884901888
130,130,7.87203E-02,12884901888
131,131,7.63003E-02,12884901888
132,132,7.39579E-02,12884901888
133,133,7.16937E-02,12884901888
134,134,6.95075E-02,12884901888
135,135,6.73985E-02,12884901888
136,136,6.53654E-02,12884901888
137,137,6.34068E-02,12884901888
138,138,6.15206E-02,12884901888
139,139,5.97050E-02,12884901888
140,140,5.79578E-02,12884901888
141,141,5.62765E-02,12884901888
142,142,5.46591E-02,12884901888
143,143,5.31031E-02,12884901888
144,144,5.16062E-02,12884901888
145,145,5.01661E-02,12884901888
146,146,4.87805E-02,12884901888
147,147,4.74472E-02,12884901888
148,148,4.61641E-02,12884901888
149,149,4.49290E-02,12884901888
150,150,1.02569E-01,12884901888
151,151,9.99609E-02,12884901888
152,152,9.73235E-02,12884901888
153,153,9.46768E-02,12884901888
154,154,9.20382E-02,12884901888
155,155,8.94224E-02,12884901888
156,156,8.68415E-02,12884901888
157,157,8.43052E-02,12884901888
158,158,8.18213E-02,12884901888
159,159,7.93957E-02,12884901888
160,160,7.70329E-02,12884901888
161,161,7.47361E-02,12884901888
162,162,7.25073E-02,12884901888
163,163,7.03478E-02,12884901888
164,164,6.82579E-02,12884901888
165,165,6.62376E-02,12884901888
166,166,6.42862E-02,12884901888
167,167,6.24027E-02,12884901888
168,168,6.05858E-02,12884901888
169,169,5.88340E-02,12884901888
170,170,5.71455E-02,12884901888
171,171,5.55185E-02,12884901888
172,172,5.39511E-02,12884901888
173,173,5.24412E-02,12884901888
174,174,5.09870E-02,12884901888
175,175,4.95863E-02,12884901888
176,176,4.82371E-02,12884901888
177,177,4.69376E-02,12884901888
178,178,4.56858E-02,12884901888
179,179,4.44797E-02,12884901888
180,180,9.91094E-02,12884901888
181,181,9.67195E-02,12884901888
182,182,9.42929E-02,12884901888
183,183,9.18483E-02,12884901888
184,184,8.94021E-02,12884901888
185,185,8.69684E-02,12884901888
186,186,8.45587E-02,12884901888
187,187,8.21829E-02,12884901888
188,188,7.98489E-02,12884901888
189,189,7.75629E-02,12884901888
190,190,7.53297E-02,12884901888
191,191,7.31531E-02,12884901888
192,192,7.10357E-02,12884901888
193,193,6.89791E-02,12884901888
194,194,6.69845E-02,12884901888
195,195,6.50521E-02,12884901888
196,196,6.31820E-02,12884901888
197,197,6.13736E-02,12884901888
198,198,5.96260E-02,12884901888
199,199,5.79382E-02,12884901888
200,200,5.63089E-02,12884901888
201,201,5.47366E-02,12884901888
202,202,5.32198E-02,12884901888
203,203,5.17568E-02,12884901888
204,204,5.03458E-02,12884901888
205,205,4.89853E-02,12884901888
206,206,4.76734E-02,12884901888
207,207,4.64084E-02,12884901888
208,208,4.51885E-02,12884901888
209,209,4.40122E-02,12884901888
210,210,9.57500E-02,12884901888
211,211,9.35595E-02,12884901888
212,212,9.13271E-02,12884901888
213,213,8.90701E-02,12884901888
214,214,8.68037E-02,12884901888
215,215,8.45410E-02,12884901888
216,216,8.22933E-02,12884901888
217,217,8.00701E-02,12884901888
218,218,7.78793E-02,12884901888
219,219,7.57274E-02,12884901888
220,220,7.36194E-02,12884901888
221,221,7.15594E-02,12884901888
222,222,6.95504E-02,12884901888
223,223,6.75947E-02,12884901888
224,224,6.56935E-02,12884901888
225,225,6.38480E-02,12884901888
226,226,6.20582E-02,12884901888
227,227,6.03243E-02,12884901888
228,228,5.86457E-02,12884901888
229,229,5.70219E-02,12884901888
230,230,5.54518E-02,12884901888
231,231,5.39344E-02,12884901888
232,232,5.24685E-02,12884901888
233,233,5.10526E-02,12884901888
234,234,4.96855E-02,12884901888
235,235,4.83655E-02,12884901888
236,236,4.70913E-02,12884901888
237,237,4.58614E-02,12884901888
238,238,4.46741E-02,12884901888
239,239,4.35280E-02,12884901888
240,240,9.24973E-02,12884901888
241,241,9.04890E-02,12884901888
242,242,8.84352E-02,12884901888
243,243,8.63517E-02,12884901888
244,244,8.42525E-02,12884901888
245,245,8.21498E-02,12884901888
246,246,8.00545E-02,12884901888
247,247,7.79758E-02,12884901888
248,248,7.59213E-02,12884901888
249,249,7.38975E-02,12884901888
250,250,7.19098E-02,12884901888
251,251,6.99624E-02,12884901888
252,252,6.80586E-02,12884901888
253,253,6.62008E-02,12884901888
254,254,6.43911E-02,12884901888
255,255,6.26305E-02,12884901888
256,256,6.09199E-02,12884901888
257,257,5.92594E-02,12884901888
258,258,5.76492E-02,12884901888
259,259,5.60888E-02,12884901888
260,260,5.45777E-02,12884901888
261,261,5.31151E-02,12884901888
262,262,5.17001E-02,12884901888
263,263,5.03315E-02,12884901888
264,264,4.90084E-02,12884901888
265,265,4.77293E-02,12884901888
266,266,4.64932E-02,12884901888
267,267,4.52986E-02,12884901888
268,268,4.41443E-02,12884901888
269,269,4.30290E-02,12884901888
270,270,8.93560E-02,12884901888
271,271,8.75136E-02,12884901888
272,272,8.56236E-02,12884901888
273,273,8.37000E-02,12884901888
274,274,8.17559E-02,12884901888
275,275,7.98025E-02,12884901888
276,276,7.78502E-02,12884901888
277,277,7.59075E-02,12884901888
278,278,7.39822E-02,12884901888
279,279,7.20805E-02,12884901888
280,280,7.02078E-02,12884901888
281,281,6.83685E-02,12884901888
282,282,6.65661E-02,12884901888
283,283,6.48034E-02,12884901888
284,284,6.30824E-02,12884901888
285,285,6.14048E-02,12884901888
286,286,5.97716E-02,12884901888
287,287,5.81834E-02,12884901888
288,288,5.66404E-02,12884901888
289,289,5.51428E-02,12884901888
290,290,5.36901E-02,12884901888
291,291,5.22819E-02,12884901888
292,292,5.09175E-02,12884901888
293,293,4.95962E-02,12884901888
294,294,4.83170E-02,12884901888
295,295,4.70789E-02,12884901888
296,296,4.58810E-02,12884901888
297,297,4.47221E-02,12884901888
298,298,4.36010E-02,12884901888
299,299,4.25167E-02,12884901888
300,300,8.63280E-02,12884901888
301,301,8.46368E-02,12884901888
302,302,8.28966E-02,12884901888
303,303,8.11203E-02,12884901888
304,304,7.93196E-02,12884901888
305,305,7.75052E-02,12884901888
306,306,7.56864E-02,12884901888
307,307,7.38717E-02,12884901888
308,308,7.20683E-02,12884901888
309,309,7.02824E-02,12884901888
310,310,6.85193E-02,12884901888
311,311,6.67835E-02,12884901888
312,312,6.50785E-02,12884901888
313,313,6.34074E-02,12884901888
314,314,6.17725E-02,12884901888
315,315,6.01755E-02,12884901888
316,316,5.86177E-02,12884901888
317,317,5.71001E-02,12884901888
318,318,5.56232E-02,12884901888
319,319,5.41872E-02,12884901888
320,320,5.27921E-02,12884901888
321,321,5.14377E-02,12884901888
322,322,5.01235E-02,12884901888
323,323,4.88491E-02,12884901888
324,324,4.76137E-02,12884901888
325,325,4.64165E-02,12884901888
326,326,4.52568E-02,12884901888
327,327,4.41335E-02,12884901888
328,328,4.30458E-02,12884901888
329,329,4.19926E-02,12884901888
330,330,8.34141E-02,12884901888
331,331,8.18604E-02,12884901888
332,332,8.02572E-02,12884901888
333,333,7.86162E-02,12884901888
334,334,7.69480E-02,12884901888
335,335,7.52624E-02,12884901888
336,336,7.35683E-02,12884901888
337,337,7.18735E-02,12884901888
338,338,7.01848E-02,12884901888
339,339,6.85085E-02,12884901888
340,340,6.68495E-02,12884901888
341,341,6.52123E-02,12884901888
342,342,6.36007E-02,12884901888
343,343,6.20176E-02,12884901888
344,344,6.04656E-02,12884901888
345,345,5.89466E-02,12884901888
346,346,5.74621E-02,12884901888
347,347,5.60133E-02,12884901888
348,348,5.46009E-02,12884901888
349,349,5.32253E-02,12884901888
350,350,5.18868E-02,12884901888
351,351,5.05853E-02,12884901888
352,352,4.93208E-02,12884901888
353,353,4.80927E-02,12884901888
354,354,4.69008E-02,12884901888
355,355,4.57442E-02,12884901888
356,356,4.46225E-02,12884901888
357,357,4.35348E-02,12884901888
358,358,4.24804E-02,12884901888
359,359,4.14584E-02,12884901888
360,360,8.06134E-02,12884901888
361,361,7.91847E-02,12884901888
362,362,7.77067E-02,12884901888
363,363,7.61898E-02,12884901888
364,364,7.46438E-02,12884901888
365,365,7.30777E-02,12884901888
366,366,7.14996E-02,12884901888
367,367,6.99169E-02,12884901888
368,368,6.83361E-02,12884901888
369,369,6.67630E-02,12884901888
370,370,6.52026E-02,12884901888
371,371,6.36593E-02,12884901888
372,372,6.21367E-02,12884901888
373,373,6.06380E-02,12884901888
374,374,5.91657E-02,12884901888
375,375,5.77220E-02,12884901888
376,376,5.63084E-02,12884901888
377,377,5.49263E-02,12884901888
378,378,5.35766E-02,12884901888
379,379,5.22600E-02,12884901888
380,380,5.09769E-02,12884901888
381,381,4.97274E-02,12884901888
382,382,4.85117E-02,12884901888
383,383,4.73294E-02,12884901888
384,384,4.61803E-02,12884901888
385,385,4.50640E-02,12884901888
386,386,4.39800E-02,12884901888
387,387,4.29277E-02,12884901888
388,388,4.19064E-02,12884901888
389,389,4.09155E-02,12884901888
390,390,7.79242E-02,12884901888
391,391,7.66092E-02,12884901888
392,392,7.52455E-02,12884901888
393,393,7.38425E-02,12884901888
394,394,7.24091E-02,12884901888
395,395,7.09536E-02,12884901888
396,396,6.94833E-02,12884901888
397,397,6.80052E-02,12884901888
398,398,6.65255E-02,12884901888
399,399,6.50496E-02,12884901888
400,400,6.35823E-02,12884901888
401,401,6.21280E-02,12884901888
402,402,6.06902E-02,12884901888
403,403,5.92721E-02,12884901888
404,404,5.78762E-02,12884901888
405,405,5.65048E-02,12884901888
406,406,5.51597E-02,12884901888
407,407,5.38421E-02,12884901888
408,408,5.25534E-02,12884901888
409,409,5.12942E-02,12884901888
410,410,5.00651E-02,12884901888
411,411,4.88665E-02,12884901888
412,412,4.76985E-02,12884901888
413,413,4.65611E-02,12884901888
414,414,4.54543E-02,12884901888
415,415,4.43777E-02,12884901888
416,416,4.33310E-02,12884901888
417,417,4.23137E-02,12884901888
418,418,4.13254E-02,12884901888
419,419,4.03654E-02,12884901888
420,420,7.53441E-02,12884901888
421,421,7.41324E-02,12884901888
422,422,7.28731E-02,12884901888
423,423,7.15746E-02,12884901888
424,424,7.02449E-02,12884901888
425,425,6.88915E-02,12884901888
426,426,6.75213E-02,12884901888
427,427,6.61408E-02,12884901888
428,428,6.47556E-02,12884901888
429,429,6.33710E-02,12884901888
430,430,6.19916E-02,12884901888
431,431,6.06215E-02,12884901888
432,432,5.92642E-02,12884901888
433,433,5.79229E-02,12884901888
434,434,5.66001E-02,12884901888
435,435,5.52981E-02,12884901888
436,436,5.40188E-02,12884901888
437,437,5.27635E-02,12884901888
438,438,5.15337E-02,12884901888
439,439,5.03302E-02,12884901888
440,440,4.91537E-02,12884901888
441,441,4.80046E-02,12884901888
442,442,4.68834E-02,12884901888
443,443,4.57901E-02,12884901888
444,444,4.47247E-02,12884901888
445,445,4.36871E-02,12884901888
446,446,4.26772E-02,12884901888
447,447,4.16945E-02,12884901888
448,448,4.07387E-02,12884901888
449,449,3.98094E-02,12884901888
450,450,7.28701E-02,12884901888
451,451,7.17524E-02,12884901888
452,452,7.05884E-02,12884901888
453,453,6.93857E-02,12884901888
454,454,6.81514E-02,12884901888
455,455,6.68924E-02,12884901888
456,456,6.56151E-02,12884901888
457,457,6.43254E-02,12884901888
458,458,6.30285E-02,12884901888
459,459,6.17296E-02,12884901888
460,460,6.04329E-02,12884901888
461,461,5.91423E-02,12884901888
462,462,5.78613E-02,12884901888
463,463,5.65930E-02,12884901888
464,464,5.53399E-02,12884901888
465,465,5.41043E-02,12884901888
466,466,5.28881E-02,12884901888
467,467,5.16929E-02,12884901888
468,468,5.05200E-02,12884901888
469,469,4.93703E-02,12884901888
470,470,4.82448E-02,12884901888
471,471,4.71440E-02,12884901888
472,472,4.60683E-02,12884901888
473,473,4.50180E-02,12884901888
474,474,4.39932E-02,12884901888
475,475,4.29939E-02,12884901888
476,476,4.20201E-02,12884901888
477,477,4.10715E-02,12884901888
478,478,4.01478E-02,12884901888
479,479,3.92488E-02,12884901888
480,480,7.04987E-02,12884901888
481,481,6.94667E-02,12884901888
482,482,6.83898E-02,12884901888
483,483,6.72748E-02,12884901888
484,484,6.61284E-02,12884901888
485,485,6.49566E-02,12884901888
486,486,6.37653E-02,12884901888
487,487,6.25600E-02,12884901888
488,488,6.13457E-02,12884901888
489,489,6.01269E-02,12884901888
490,490,5.89079E-02,12884901888
491,491,5.76924E-02,12884901888
492,492,5.64836E-02,12884901888
493,493,5.52846E-02,12884901888
494,494,5.40979E-02,12884901888
495,495,5.29257E-02,12884901888
496,496,5.17700E-02,12884901888
497,497,5.06324E-02,12884901888
498,498,4.95142E-02,12884901888
499,499,4.84166E-02,12884901888
500,500,4.73404E-02,12884901888
501,501,4.62863E-02,12884901888
502,502,4.52549E-02,12884901888
503,503,4.42466E-02,12884901888
504,504,4.32614E-02,12884901888
505,505,4.22996E-02,12884901888
506,506,4.13612E-02,12884901888
507,507,4.04461E-02,12884901888
508,508,3.95541E-02,12884901888
509,509,3.86849E-02,12884901888
510,510,6.82265E-02,12884901888
511,511,6.72724E-02,12884901888
512,512,6.62751E-02,12884901888
513,513,6.52407E-02,12884901888
514,514,6.41750E-02,12884901888
515,515,6.30837E-02,12884901888
516,516,6.19722E-02,12884901888
517,517,6.08454E-02,12884901888
518,518,5.97080E-02,12884901888
519,519,5.85643E-02,12884901888
520,520,5.74183E-02,12884901888
521,521,5.62734E-02,12884901888
522,522,5.51328E-02,12884901888
523,523,5.39995E-02,12884901888
524,524,5.28759E-02,12884901888
525,525,5.17642E-02,12884901888
526,526,5.06663E-02,12884901888
527,527,4.95839E-02,12884901888
528,528,4.85183E-02,12884901888
529,529,4.74708E-02,12884901888
530,530,4.64423E-02,12884901888
531,531,4.54335E-02,12884901888
532,532,4.44450E-02,12884901888
533,533,4.34774E-02,12884901888
534,534,4.25309E-02,12884901888
535,535,4.16057E-02,12884901888
536,536,4.07019E-02,12884901888
537,537,3.98196E-02,12884901888
538,538,3.89586E-02,12884901888
539,539,3.81188E-02,12884901888
540,540,6.60496E-02,12884901888
541,541,6.51666E-02,12884901888
542,542,6.42422E-02,12884901888
543,543,6.32816E-02,12884901888
544,544,6.22902E-02,12884901888
545,545,6.12733E-02,12884901888
546,546,6.02356E-02,12884901888
547,547,5.91817E-02,12884901888
548,548,5.81161E-02,12884901888
549,549,5.70426E-02,12884901888
550,550,5.59649E-02,12884901888
551,551,5.48865E-02,12884901888
552,552,5.38104E-02,12884901888
553,553,5.27392E-02,12884901888
554,554,5.16754E-02,12884901888
555,555,5.06213E-02,12884901888
556,556,4.95785E-02,12884901888
557,557,4.85489E-02,12884901888
558,558,4.75339E-02,12884901888
559,559,4.65345E-02,12884901888
560,560,4.55519E-02,12884901888
561,561,4.45868E-02,12884901888
562,562,4.36400E-02,12884901888
563,563,4.27119E-02,12884901888
564,564,4.18029E-02,12884901888
565,565,4.09134E-02,12884901888
566,566,4.00434E-02,12884901888
567,567,3.91931E-02,12884901888
568,568,3.83625E-02,12884901888
569,569,3.75515E-02,12884901888
570,570,6.39642E-02,12884901888
571,571,6.31462E-02,12884901888
572,572,6.22883E-02,12884901888
573,573,6.13955E-02,12884901888
574,574,6.04726E-02,12884901888
575,575,5.95243E-02,12884901888
576,576,5.85550E-02,12884901888
577,577,5.75689E-02,12884901888
578,578,5.65700E-02,12884901888
579,579,5.55621E-02,12884901888
580,580,5.45486E-02,12884901888
581,581,5.35327E-02,12884901888
582,582,5.25172E-02,12884901888
583,583,5.15048E-02,12884901888
584,584,5.04978E-02,12884901888
585,585,4.94983E-02,12884901888
586,586,4.85081E-02,12884901888
587,587,4.75290E-02,12884901888
588,588,4.65622E-02,12884901888
589,589,4.56091E-02,12884901888
590,590,4.46707E-02,12884901888
591,591,4.37478E-02,12884901888
592,592,4.28411E-02,12884901888
593,593,4.19513E-02,12884901888
594,594,4.10788E-02,12884901888
595,595,4.02239E-02,12884901888
596,596,3.93869E-02,12884901888
597,597,3.85679E-02,12884901888
598,598,3.77670E-02,12884901888
599,599,3.69842E-02,12884901888
