PGA,URML_Pre1945,URML_Post1945,Timber_Pre1945,Timber_Post1945,C1L_Pre1996,C1L_Post1996,C2L_Pre1996,C2L_Post1996,S2L_Pre1996,S2L_Post1996,S5L_Pre1996,S5L_Post1996,URML_Pre1945_rev,URML_Post1945_rev,Timber_Pre1945_rev,Timber_Post1945_rev,S5L_Post1996_rev,S5L_Pre1996_rev,S2L_Post1996_rev,S2L_Pre1996_rev,C1L_Post1996_rev,C1L_Pre1996_rev,C2L_Pre1996_rev,C2L_Post1996_rev
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.00145,0.00054,0.00019,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023420000000000003,0.0006799999999999999,0.0006599999999999999,0.00018999999999999998,0.001,0.0015,0.00015,0.00025,0.0001,0.00025,0.0001,0.00014
0.06,0.0693,0.02593,0.00889,0.00318,0.00058,0.0,0.0,0.0,1e-05,0.0,0.00113,1e-05,0.016675999999999996,0.005723999999999997,0.004735999999999999,0.0016079999999999994,0.005999999999999999,0.009,0.0009,0.0014999999999999998,0.0006,0.0014999999999999998,0.0006,0.0008399999999999999
0.11,0.12854000000000002,0.06484,0.0267,0.01273,0.04944,0.00156,0.00075,0.0,0.00487,0.00028,0.0576,0.00413,0.043168,0.019082,0.012482,0.005417999999999999,0.011,0.0165,0.00165,0.00275,0.0011,0.00275,0.0011,0.00154
0.16,0.18126,0.11341,0.05397,0.03192,0.19038,0.02644,0.02321,0.00048,0.0454,0.00572,0.20889,0.04094,0.07739000000000001,0.041036,0.022948000000000003,0.011842,0.016,0.024,0.0024,0.004,0.0016,0.004,0.0016,0.00224
0.21,0.22912,0.16629000000000002,0.08845,0.06113,0.35186,0.0978,0.11048,0.0075400000000000016,0.13335,0.027510000000000003,0.37487,0.12591,0.11658799999999997,0.07099399999999999,0.035619999999999985,0.020941999999999995,0.020999999999999998,0.032999999999999995,0.0037999999999999987,0.006999999999999997,0.0027999999999999987,0.006699999999999997,0.003299999999999998,0.003519999999999999
0.26,0.27253,0.22046,0.12839,0.10008,0.4935600000000001,0.1984,0.25343000000000004,0.0366,0.24482,0.07065,0.51341,0.23831,0.158682,0.10779,0.050134000000000005,0.032716,0.026,0.048,0.0078000000000000005,0.017,0.0068000000000000005,0.015200000000000002,0.009800000000000001,0.00712
0.31,0.3119,0.27375,0.17197,0.14728,0.60588,0.30373,0.40934,0.09677,0.35652,0.13057,0.61983,0.35349,0.20204000000000005,0.14988800000000002,0.06615599999999999,0.047032,0.031,0.067,0.0129,0.028500000000000004,0.011500000000000002,0.0258,0.0173,0.011200000000000002
0.36,0.34768000000000004,0.32491,0.21763,0.20076,0.6916100000000001,0.40185,0.54828,0.18286,0.45716,0.1997,0.69982,0.45799,0.245454,0.19566,0.08339400000000001,0.063738,0.036,0.10199999999999998,0.022399999999999996,0.04599999999999999,0.018999999999999996,0.04479999999999999,0.028799999999999992,0.017199999999999997
0.41,0.38029,0.37314,0.26397,0.2581,0.7564,0.48863,0.65957,0.28201,0.54324,0.27128,0.76002,0.54715,0.3073839999999999,0.25331999999999993,0.10545799999999997,0.08493799999999997,0.04479999999999998,0.13899999999999996,0.03249999999999999,0.06499999999999997,0.026999999999999993,0.06519999999999998,0.04219999999999998,0.02419999999999999
0.46,0.41007,0.41805,0.30988000000000004,0.31697,0.80548,0.56333,0.7439899999999999,0.38243,0.61511,0.34087,0.80575,0.6210100000000001,0.4429900000000001,0.34895000000000004,0.142768,0.11635,0.0688,0.184,0.045,0.09,0.037000000000000005,0.0912,0.0632,0.0352
0.51,0.43737,0.45955,0.35457,0.37537,0.8429,0.6266,0.8063100000000001,0.47632,0.67443,0.40603,0.84085,0.68135,0.566082,0.43551000000000006,0.176534,0.14473,0.09670000000000001,0.234,0.059500000000000004,0.11580000000000001,0.0485,0.1188,0.08650000000000001,0.048
0.56,0.46244,0.49767,0.39739,0.43165,0.8718,0.67982,0.8521299999999999,0.5598,0.72337,0.46562,0.8682200000000001,0.7305699999999999,0.6779999999999999,0.514206,0.20712000000000005,0.17053600000000002,0.14020000000000005,0.3040000000000001,0.08200000000000003,0.14480000000000004,0.06600000000000003,0.15280000000000005,0.11900000000000004,0.06800000000000003
0.61,0.48554,0.53256,0.43801,0.48476,0.8943,0.72437,0.8857799999999999,0.63165,0.76373,0.51939,0.8897700000000001,0.7707,0.7736000000000001,0.585464,0.234554,0.194008,0.18460000000000001,0.372,0.10400000000000001,0.17420000000000002,0.085,0.19,0.1513,0.08810000000000001
0.66,0.5068699999999999,0.56442,0.47619,0.5340199999999999,0.91201,0.76164,0.91066,0.69217,0.7971199999999999,0.5675,0.90693,0.8035399999999999,0.833248,0.649872,0.25995,0.21573,0.23260000000000008,0.43200000000000005,0.12400000000000004,0.20520000000000005,0.11000000000000004,0.2400000000000001,0.18280000000000002,0.10860000000000003
0.71,0.52663,0.5935,0.51183,0.57911,0.92612,0.79292,0.92932,0.74263,0.8249200000000001,0.61036,0.92079,0.8306100000000001,0.8722200000000001,0.7084520000000001,0.28375,0.236104,0.28390000000000004,0.4919999999999999,0.14600000000000002,0.23900000000000002,0.1378,0.29300000000000004,0.2152,0.133
0.76,0.54496,0.62003,0.54495,0.62,0.93748,0.81926,0.94349,0.78438,0.8481799999999999,0.6484800000000001,0.93208,0.85306,0.902692,0.756722,0.31075800000000003,0.259412,0.34840000000000004,0.5519999999999999,0.17600000000000002,0.28400000000000003,0.17679999999999998,0.358,0.25120000000000003,0.173
0.81,0.56203,0.6442399999999999,0.57562,0.65684,0.94672,0.84155,0.9544,0.8189,0.86779,0.68237,0.94138,0.87182,0.9129299999999999,0.782324,0.35170999999999997,0.295244,0.41350000000000003,0.611,0.20700000000000002,0.329,0.2212,0.422,0.28900000000000003,0.2125
0.86,0.57793,0.6663399999999999,0.6039100000000001,0.68979,0.95426,0.8604,0.96282,0.8472299999999999,0.88431,0.7124199999999999,0.94906,0.88751,0.9225700000000001,0.806422,0.390272,0.328984,0.481,0.6659999999999999,0.242,0.37399999999999994,0.28719999999999996,0.482,0.33399999999999996,0.24999999999999997
0.91,0.5927899999999999,0.68655,0.63,0.71924,0.96049,0.87649,0.96945,0.8706299999999999,0.8983700000000001,0.73917,0.95549,0.90079,0.93166,0.829156,0.426642,0.36081599999999997,0.5485,0.719,0.279,0.419,0.35600000000000004,0.541,0.38,0.28900000000000003
0.96,0.6067,0.70505,0.6540199999999999,0.74549,0.96568,0.8902899999999999,0.97473,0.89,0.91039,0.76299,0.96091,0.91208,0.940224,0.8505659999999999,0.4609,0.390788,0.616,0.764,0.32399999999999995,0.46399999999999997,0.43599999999999994,0.596,0.42999999999999994,0.33399999999999996
1.01,0.61975,0.722,0.6761,0.76883,0.97001,0.90213,0.97894,0.90599,0.92067,0.7841899999999999,0.96548,0.9217,0.948366,0.8709040000000001,0.49344399999999994,0.419262,0.682,0.805,0.367,0.509,0.515,0.651,0.48,0.377
1.06,0.632,0.73755,0.6964,0.78961,0.97367,0.91236,0.98234,0.91928,0.92954,0.80312,0.96939,0.92996,0.9561299999999999,0.89031,0.5245,0.44643999999999995,0.742,0.8300000000000001,0.40199999999999997,0.5539999999999999,0.59,0.706,0.5299999999999999,0.412
1.11,0.64354,0.75188,0.71511,0.8081699999999999,0.97678,0.92128,0.98512,0.93043,0.93724,0.8200799999999999,0.97275,0.93713,0.963564,0.908898,0.5542400000000001,0.4724620000000001,0.798,0.8550000000000001,0.437,0.599,0.66,0.757,0.579,0.447
1.16,0.65441,0.7650600000000001,0.73231,0.8246899999999999,0.97943,0.92903,0.98739,0.93974,0.94391,0.8352700000000001,0.97563,0.94333,0.970658,0.926642,0.5826279999999999,0.4973,0.838,0.88,0.4719999999999999,0.6439999999999999,0.71,0.7919999999999999,0.6239999999999999,0.48199999999999993
1.21,0.66468,0.77723,0.74816,0.83944,0.98171,0.93583,0.98927,0.94758,0.94974,0.8489,0.97814,0.94874,0.977404,0.943498,0.609598,0.5209,0.8738,0.902,0.508,0.6885,0.7565000000000001,0.8255,0.6685,0.5185000000000001
1.26,0.6743899999999999,0.78847,0.76277,0.85264,0.98367,0.9418,0.99082,0.9542,0.95483,0.86116,0.98032,0.95348,0.983926,0.959816,0.6357,0.543736,0.8928,0.912,0.548,0.7310000000000001,0.789,0.853,0.7110000000000001,0.561
1.31,0.68358,0.7989,0.77627,0.8645,0.98537,0.94709,0.99213,0.95984,0.95933,0.87224,0.98223,0.95767,0.990194,0.9754879999999999,0.66079,0.5656899999999999,0.9092,0.922,0.5880000000000001,0.7735000000000001,0.8215000000000001,0.8805000000000001,0.7535000000000001,0.6035000000000001
1.36,0.69229,0.80853,0.7887,0.87508,0.98684,0.95173,0.99321,0.9646,0.96325,0.88218,0.98389,0.96133,0.996008,0.990016,0.6840240000000001,0.586024,0.9152,0.932,0.6280000000000001,0.8160000000000002,0.8540000000000001,0.9080000000000001,0.7960000000000002,0.6460000000000001
